λ:1.0Å, P0:99.0%, intensity:4.992202402308866e+31
λ:1.2Å, P0:99.0%, intensity:7.188771459324767e+31
λ:1.4Å, P0:99.0%, intensity:9.784716708525377e+31
λ:1.6Å, P0:99.0%, intensity:1.2780038149910699e+32
λ:1.8Å, P0:99.0%, intensity:1.6174735783480727e+32
λ:2.0Å, P0:99.0%, intensity:1.9968809609235465e+32
λ:2.2Å, P0:99.0%, intensity:2.4162259627174914e+32
λ:2.4Å, P0:99.0%, intensity:2.8755085837299067e+32
λ:2.6Å, P0:99.0%, intensity:3.3747288239607935e+32
λ:2.8Å, P0:99.0%, intensity:3.913886683410151e+32
λ:3.0Å, P0:99.0%, intensity:4.4929821620779794e+32
λ:3.2Å, P0:99.0%, intensity:5.1120152599642796e+32
λ:3.4Å, P0:99.0%, intensity:5.7709859770690484e+32
λ:3.6Å, P0:99.0%, intensity:6.469894313392291e+32
λ:3.8Å, P0:99.0%, intensity:7.208740268934002e+32
λ:4.0Å, P0:99.0%, intensity:7.987523843694186e+32
λ:4.2Å, P0:99.0%, intensity:8.80624503767284e+32
λ:4.4Å, P0:99.0%, intensity:9.664903850869966e+32
λ:4.6Å, P0:99.0%, intensity:1.0563500283285558e+33
λ:4.8Å, P0:99.0%, intensity:1.1502034334919627e+33
λ:5.0Å, P0:99.0%, intensity:1.2480506005772164e+33
λ:5.2Å, P0:99.0%, intensity:1.3498915295843174e+33
λ:5.4Å, P0:99.0%, intensity:1.4557262205132656e+33
λ:5.6Å, P0:99.0%, intensity:1.5655546733640603e+33
λ:5.8Å, P0:99.0%, intensity:1.6793768881367024e+33
λ:6.0Å, P0:99.0%, intensity:1.7971928648311918e+33
λ:6.2Å, P0:99.0%, intensity:1.9190026034475282e+33
λ:6.4Å, P0:99.0%, intensity:2.0448061039857118e+33
λ:6.6Å, P0:99.0%, intensity:2.1746033664457417e+33
λ:6.8Å, P0:99.0%, intensity:2.3083943908276194e+33
λ:7.0Å, P0:99.0%, intensity:2.446179177131344e+33
λ:7.2Å, P0:99.0%, intensity:2.5879577253569163e+33
λ:7.4Å, P0:99.0%, intensity:2.733730035504335e+33
λ:7.6Å, P0:99.0%, intensity:2.883496107573601e+33
λ:7.8Å, P0:99.0%, intensity:3.0372559415647136e+33
λ:8.0Å, P0:99.0%, intensity:3.1950095374776744e+33
λ:8.2Å, P0:99.0%, intensity:3.356756895312481e+33
λ:8.4Å, P0:99.0%, intensity:3.522498015069136e+33
λ:8.6Å, P0:99.0%, intensity:3.692232896747637e+33
λ:8.8Å, P0:99.0%, intensity:3.865961540347986e+33
λ:9.0Å, P0:99.0%, intensity:4.0436839458701813e+33
λ:9.2Å, P0:99.0%, intensity:4.2254001133142233e+33
λ:9.4Å, P0:99.0%, intensity:4.411110042680114e+33
λ:9.6Å, P0:99.0%, intensity:4.6008137339678507e+33
λ:9.8Å, P0:99.0%, intensity:4.794511187177435e+33
λ:10.0Å, P0:99.0%, intensity:4.9922024023088656e+33
λ:10.2Å, P0:99.0%, intensity:5.193887379362143e+33
λ:10.4Å, P0:99.0%, intensity:5.39956611833727e+33
λ:10.6Å, P0:99.0%, intensity:5.609238619234242e+33
λ:10.8Å, P0:99.0%, intensity:5.822904882053062e+33
λ:11.0Å, P0:99.0%, intensity:6.040564906793728e+33
λ:11.2Å, P0:99.0%, intensity:6.262218693456241e+33
λ:11.4Å, P0:99.0%, intensity:6.487866242040602e+33
λ:11.6Å, P0:99.0%, intensity:6.71750755254681e+33
λ:11.8Å, P0:99.0%, intensity:6.951142624974866e+33
λ:12.0Å, P0:99.0%, intensity:7.188771459324767e+33
λ:12.2Å, P0:99.0%, intensity:7.430394055596514e+33
λ:12.4Å, P0:99.0%, intensity:7.676010413790113e+33
